Time                ,Current(A)  ,Voltage(V)  ,Pressure(kg),F0(kg)      ,DeltaF      ,RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorTheoryVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s)
10:57:04.936499     ,0.000       ,0.000       ,5.300       ,5.317       ,0.012       ,0.00245       ,2147482009    ,215.947         ,-5.000        ,0.017               ,0.093               ,-4959.843       ,-0.00767          ,-0.01178              
10:57:04.956458     ,0.000       ,0.000       ,5.300       ,5.317       ,0.012       ,0.00245       ,2147482009    ,215.947         ,-8.000        ,0.028               ,0.093               ,-4959.850       ,-0.00767          ,-0.01178              
10:57:04.976462     ,0.000       ,0.000       ,5.360       ,5.317       ,0.016       ,0.00238       ,2147482008    ,215.859         ,-10.000       ,0.035               ,0.093               ,-4959.856       ,0.00000           ,-0.01147              
10:57:04.996472     ,0.000       ,0.000       ,5.360       ,5.317       ,0.016       ,0.00222       ,2147482006    ,215.684         ,-12.000       ,0.042               ,0.093               ,-4959.863       ,0.00000           ,-0.01147              
10:57:05.016486     ,0.000       ,0.000       ,5.360       ,5.317       ,0.016       ,0.00192       ,2147482002    ,215.332         ,-13.000       ,0.045               ,0.095               ,-4959.869       ,0.00383           ,-0.01010              
10:57:05.036466     ,0.000       ,0.000       ,5.360       ,5.317       ,0.016       ,0.00161       ,2147481998    ,214.980         ,-13.000       ,0.045               ,0.095               ,-4959.874       ,0.00383           ,-0.01010              
10:57:05.056466     ,0.000       ,0.000       ,5.360       ,5.317       ,0.011       ,0.00130       ,2147481994    ,214.629         ,-14.000       ,0.049               ,0.097               ,-4959.879       ,0.01534           ,-0.00730              
10:57:05.076460     ,0.000       ,0.000       ,5.370       ,5.317       ,0.006       ,0.00092       ,2147481989    ,214.189         ,-13.000       ,0.045               ,0.101               ,-4959.882       ,0.01534           ,-0.00350              
10:57:05.096462     ,0.000       ,0.000       ,5.370       ,5.317       ,0.001       ,0.00054       ,2147481984    ,213.750         ,-13.000       ,0.045               ,0.105               ,-4959.884       ,0.01534           ,0.00054               
10:57:05.116465     ,0.000       ,0.000       ,5.370       ,5.317       ,0.001       ,0.00023       ,2147481980    ,213.398         ,-12.000       ,0.042               ,0.105               ,-4959.888       ,0.01534           ,0.00054               
10:57:05.136473     ,0.000       ,0.000       ,5.370       ,5.317       ,-0.005      ,-0.00015      ,2147481975    ,212.959         ,-9.000        ,0.031               ,-0.100              ,-4959.882       ,0.01918           ,0.00452               
10:57:05.156466     ,0.000       ,0.000       ,5.370       ,5.317       ,-0.005      ,-0.00046      ,2147481971    ,212.607         ,-2.000        ,0.007               ,-0.100              ,-4959.871       ,0.01918           ,0.00452               
10:57:05.176463     ,0.000       ,0.000       ,5.330       ,5.317       ,-0.011      ,-0.00061      ,2147481969    ,212.432         ,3.000         ,-0.010              ,-0.097              ,-4959.862       ,0.01534           ,0.00800               
10:57:05.196468     ,0.000       ,0.000       ,5.330       ,5.317       ,-0.015      ,-0.00077      ,2147481967    ,212.256         ,7.000         ,-0.024              ,-0.094              ,-4959.855       ,0.01534           ,0.01043               
10:57:05.216462     ,0.000       ,0.000       ,5.330       ,5.317       ,-0.015      ,-0.00077      ,2147481967    ,212.256         ,9.000         ,-0.031              ,-0.094              ,-4959.851       ,0.01534           ,0.01043               
10:57:05.236482     ,0.000       ,0.000       ,5.330       ,5.317       ,-0.016      ,-0.00077      ,2147481967    ,212.256         ,10.000        ,-0.035              ,-0.093              ,-4959.845       ,0.00767           ,0.01167               
10:57:05.256470     ,0.000       ,0.000       ,5.330       ,5.317       ,-0.018      ,-0.00069      ,2147481968    ,212.344         ,11.000        ,-0.038              ,-0.093              ,-4959.840       ,0.00000           ,0.01162               
10:57:05.276458     ,0.000       ,0.000       ,5.270       ,5.317       ,-0.018      ,-0.00046      ,2147481971    ,212.607         ,12.000        ,-0.042              ,-0.093              ,-4959.835       ,0.00000           ,0.01162               
10:57:05.296528     ,0.000       ,0.000       ,5.270       ,5.317       ,-0.020      ,-0.00023      ,2147481974    ,212.871         ,12.000        ,-0.042              ,-0.094              ,-4959.831       ,0.00000           ,0.01044               
10:57:05.316467     ,0.000       ,0.000       ,5.270       ,5.317       ,-0.015      ,0.00008       ,2147481978    ,213.223         ,12.000        ,-0.042              ,-0.097              ,-4959.827       ,-0.01150          ,0.00800               
10:57:05.336481     ,0.000       ,0.000       ,5.270       ,5.317       ,-0.015      ,0.00038       ,2147481982    ,213.574         ,12.000        ,-0.042              ,-0.097              ,-4959.822       ,-0.01150          ,0.00800               
10:57:05.356467     ,0.000       ,0.000       ,5.270       ,5.317       ,-0.009      ,0.00069       ,2147481986    ,213.926         ,12.000        ,-0.042              ,-0.100              ,-4959.818       ,-0.01534          ,0.00445               
10:57:05.376464     ,0.000       ,0.000       ,5.280       ,5.317       ,-0.004      ,0.00107       ,2147481991    ,214.365         ,12.000        ,-0.042              ,-0.104              ,-4959.814       ,-0.01534          ,0.00058               
10:57:05.396482     ,0.000       ,0.000       ,5.280       ,5.317       ,-0.004      ,0.00138       ,2147481995    ,214.717         ,12.000        ,-0.042              ,-0.104              ,-4959.813       ,-0.01534          ,0.00058               
10:57:05.416468     ,0.000       ,0.000       ,5.280       ,5.317       ,0.001       ,0.00169       ,2147481999    ,215.068         ,6.000         ,-0.021              ,0.101               ,-4959.824       ,-0.01918          ,-0.00327              
10:57:05.436474     ,0.000       ,0.000       ,5.280       ,5.317       ,0.006       ,0.00184       ,2147482001    ,215.244         ,-1.000        ,0.003               ,0.098               ,-4959.833       ,-0.01535          ,-0.00689              
10:57:05.456468     ,0.000       ,0.000       ,5.280       ,5.317       ,0.012       ,0.00199       ,2147482003    ,215.420         ,-5.000        ,0.017               ,0.096               ,-4959.841       ,-0.00767          ,-0.00920              
10:57:05.476509     ,0.000       ,0.000       ,5.340       ,5.317       ,0.015       ,0.00199       ,2147482003    ,215.420         ,-8.000        ,0.028               ,0.094               ,-4959.846       ,-0.00767          ,-0.01035              
10:57:05.496479     ,0.000       ,0.000       ,5.340       ,5.317       ,0.014       ,0.00199       ,2147482003    ,215.420         ,-9.000        ,0.031               ,0.094               ,-4959.851       ,0.00000           ,-0.01024              
10:57:05.516465     ,0.000       ,0.000       ,5.340       ,5.317       ,0.014       ,0.00192       ,2147482002    ,215.332         ,-10.000       ,0.035               ,0.094               ,-4959.856       ,0.00000           ,-0.01024              
10:57:05.536481     ,0.000       ,0.000       ,5.340       ,5.317       ,0.013       ,0.00176       ,2147482000    ,215.156         ,-11.000       ,0.038               ,0.096               ,-4959.862       ,0.00000           ,-0.00901              
10:57:05.556475     ,0.000       ,0.000       ,5.340       ,5.317       ,0.013       ,0.00146       ,2147481996    ,214.805         ,-13.000       ,0.045               ,0.096               ,-4959.869       ,0.00000           ,-0.00901              
10:57:05.576472     ,0.000       ,0.000       ,5.370       ,5.317       ,0.013       ,0.00123       ,2147481993    ,214.541         ,-14.000       ,0.049               ,0.098               ,-4959.875       ,0.00767           ,-0.00676              
10:57:05.596476     ,0.000       ,0.000       ,5.370       ,5.317       ,0.013       ,0.00092       ,2147481989    ,214.189         ,-14.000       ,0.049               ,0.098               ,-4959.879       ,0.00767           ,-0.00676              
10:57:05.616475     ,0.000       ,0.000       ,5.370       ,5.317       ,0.007       ,0.00054       ,2147481984    ,213.750         ,-14.000       ,0.049               ,0.101               ,-4959.883       ,0.01150           ,-0.00404              
10:57:05.636468     ,0.000       ,0.000       ,5.370       ,5.317       ,0.001       ,0.00023       ,2147481980    ,213.398         ,-13.000       ,0.045               ,0.104               ,-4959.885       ,0.01534           ,-0.00076              
10:57:05.656477     ,0.000       ,0.000       ,5.370       ,5.317       ,0.001       ,-0.00008      ,2147481976    ,213.047         ,-8.000        ,0.028               ,0.104               ,-4959.876       ,0.01534           ,-0.00076              
10:57:05.676476     ,0.000       ,0.000       ,5.340       ,5.317       ,-0.005      ,-0.00031      ,2147481973    ,212.783         ,-2.000        ,0.007               ,-0.102              ,-4959.864       ,0.01917           ,0.00269               
10:57:05.696491     ,0.000       ,0.000       ,5.340       ,5.317       ,-0.010      ,-0.00054      ,2147481970    ,212.520         ,4.000         ,-0.014              ,-0.099              ,-4959.855       ,0.01534           ,0.00602               
10:57:05.716485     ,0.000       ,0.000       ,5.340       ,5.317       ,-0.010      ,-0.00061      ,2147481969    ,212.432         ,7.000         ,-0.024              ,-0.099              ,-4959.848       ,0.01534           ,0.00602               
10:57:05.736491     ,0.000       ,0.000       ,5.340       ,5.317       ,-0.013      ,-0.00069      ,2147481968    ,212.344         ,10.000        ,-0.035              ,-0.096              ,-4959.844       ,0.01150           ,0.00859               
10:57:05.756481     ,0.000       ,0.000       ,5.340       ,5.317       ,-0.017      ,-0.00069      ,2147481968    ,212.344         ,11.000        ,-0.038              ,-0.095              ,-4959.838       ,0.00384           ,0.00992               
10:57:05.776464     ,0.000       ,0.000       ,5.340       ,5.317       ,-0.017      ,-0.00061      ,2147481969    ,212.432         ,12.000        ,-0.042              ,-0.095              ,-4959.834       ,0.00384           ,0.00992               
10:57:05.796493     ,0.000       ,0.000       ,5.340       ,5.317       ,-0.020      ,-0.00046      ,2147481971    ,212.607         ,12.000        ,-0.042              ,-0.095              ,-4959.831       ,0.00383           ,0.01017               
10:57:05.816472     ,0.000       ,0.000       ,5.340       ,5.317       ,-0.020      ,-0.00023      ,2147481974    ,212.871         ,12.000        ,-0.042              ,-0.096              ,-4959.826       ,-0.00383          ,0.00896               
10:57:05.836478     ,0.000       ,0.000       ,5.340       ,5.317       ,-0.020      ,0.00000       ,2147481977    ,213.135         ,12.000        ,-0.042              ,-0.096              ,-4959.822       ,-0.00383          ,0.00896               
10:57:05.856467     ,0.000       ,0.000       ,5.340       ,5.317       ,-0.020      ,0.00023       ,2147481980    ,213.398         ,12.000        ,-0.042              ,-0.098              ,-4959.817       ,-0.01150          ,0.00650               
10:57:05.876480     ,0.000       ,0.000       ,5.260       ,5.317       ,-0.020      ,0.00046       ,2147481983    ,213.662         ,12.000        ,-0.042              ,-0.101              ,-4959.813       ,-0.01151          ,0.00340               
10:57:05.896494     ,0.000       ,0.000       ,5.260       ,5.317       ,-0.020      ,0.00061       ,2147481985    ,213.838         ,12.000        ,-0.042              ,-0.101              ,-4959.809       ,-0.01151          ,0.00340               
10:57:05.916474     ,0.000       ,0.000       ,5.260       ,5.317       ,-0.014      ,0.00077       ,2147481987    ,214.014         ,13.000        ,-0.045              ,-0.104              ,-4959.804       ,-0.01151          ,0.00031               
10:57:05.936511     ,0.000       ,0.000       ,5.260       ,5.317       ,-0.008      ,0.00077       ,2147481987    ,214.014         ,13.000        ,-0.045              ,-0.107              ,-4959.798       ,-0.00767          ,-0.00255              
10:57:05.956481     ,0.000       ,0.000       ,5.260       ,5.317       ,-0.008      ,0.00069       ,2147481986    ,213.926         ,14.000        ,-0.049              ,-0.107              ,-4959.792       ,-0.00767          ,-0.00255              
10:57:05.976465     ,0.000       ,0.000       ,5.120       ,5.317       ,-0.001      ,0.00038       ,2147481982    ,213.574         ,15.000        ,-0.052              ,-0.109              ,-4959.786       ,0.00000           ,-0.00431              
10:57:05.996475     ,0.000       ,0.000       ,5.120       ,5.317       ,0.013       ,-0.00008      ,2147481976    ,213.047         ,15.000        ,-0.052              ,0.101               ,-4959.784       ,0.01533           ,-0.00394              
10:57:06.016463     ,0.000       ,0.000       ,5.120       ,5.317       ,0.013       ,-0.00084      ,2147481966    ,212.168         ,7.000         ,-0.024              ,0.101               ,-4959.797       ,0.01533           ,-0.00394              
10:57:06.036470     ,0.000       ,0.000       ,5.120       ,5.317       ,0.026       ,-0.00184      ,2147481953    ,211.025         ,-1.000        ,0.003               ,0.103               ,-4959.809       ,0.02301           ,-0.00161              
10:57:06.056473     ,0.000       ,0.000       ,5.120       ,5.317       ,0.039       ,-0.00314      ,2147481936    ,209.531         ,-5.000        ,0.017               ,0.108               ,-4959.815       ,0.04978           ,0.00370               
10:57:06.076519     ,0.000       ,0.000       ,4.890       ,5.317       ,0.052       ,-0.00476      ,2147481915    ,207.686         ,-7.000        ,0.024               ,0.117               ,-4959.822       ,0.06530           ,0.01180               
10:57:06.096481     ,0.000       ,0.000       ,4.890       ,5.317       ,0.078       ,-0.00667      ,2147481890    ,205.488         ,-10.000       ,0.035               ,0.127               ,-4959.830       ,0.08049           ,0.02229               
10:57:06.116460     ,0.000       ,0.000       ,4.890       ,5.317       ,0.104       ,-0.00882      ,2147481862    ,203.027         ,-13.000       ,0.045               ,0.139               ,-4959.840       ,0.09590           ,0.03447               
10:57:06.136471     ,0.000       ,0.000       ,4.890       ,5.317       ,0.104       ,-0.01135      ,2147481829    ,200.127         ,-16.000       ,0.056               ,0.139               ,-4959.851       ,0.09590           ,0.03447               
10:57:06.156482     ,0.000       ,0.000       ,4.890       ,5.317       ,0.130       ,-0.01411      ,2147481793    ,196.963         ,-19.000       ,0.066               ,0.153               ,-4959.861       ,0.10740           ,0.04806               
10:57:06.176466     ,0.000       ,0.000       ,4.790       ,5.317       ,0.152       ,-0.01710      ,2147481754    ,193.535         ,-22.000       ,0.077               ,0.168               ,-4959.874       ,0.13799           ,0.06287               
10:57:06.196478     ,0.000       ,0.000       ,4.790       ,5.317       ,0.152       ,-0.02048      ,2147481710    ,189.668         ,-24.000       ,0.084               ,0.168               ,-4959.885       ,0.13799           ,0.06287               
10:57:06.216476     ,0.000       ,0.000       ,4.790       ,5.317       ,0.152       ,-0.02424      ,2147481661    ,185.361         ,-26.000       ,0.091               ,0.168               ,-4959.895       ,0.13799           ,0.06287               
