Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,Pressure(kg),F0(kg)      ,DeltaF      ,RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorTheoryVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s)
15:47:37.432581     ,0.000       ,0.000       ,0.000       ,12.670      ,0.000       ,0.000       ,0.00000       ,2147476119    ,58.271          ,0.000         ,-0.000              ,0.000               ,-2534.397       ,0.00000           ,0.00000               
15:47:37.453153     ,0.000       ,0.000       ,0.000       ,12.660      ,0.000       ,0.000       ,0.00000       ,2147476119    ,58.271          ,0.000         ,-0.000              ,0.000               ,-2534.397       ,0.00000           ,0.00000               
15:47:37.473685     ,0.000       ,0.000       ,0.000       ,12.670      ,0.000       ,0.000       ,0.00000       ,2147476119    ,58.271          ,0.000         ,-0.000              ,0.000               ,-2534.397       ,0.00000           ,0.00000               
15:47:37.494392     ,0.000       ,0.000       ,0.000       ,12.660      ,0.000       ,0.000       ,0.00000       ,2147476119    ,58.271          ,0.000         ,-0.000              ,0.000               ,-2534.397       ,0.00000           ,0.00000               
15:47:37.513867     ,0.000       ,0.000       ,0.000       ,12.670      ,0.000       ,0.000       ,0.00000       ,2147476119    ,58.271          ,0.000         ,-0.000              ,0.000               ,-2534.397       ,0.00000           ,0.00000               
15:47:37.534715     ,0.000       ,0.000       ,0.000       ,12.660      ,0.000       ,0.000       ,0.00000       ,2147476119    ,58.271          ,0.000         ,-0.000              ,0.000               ,-2534.397       ,0.00000           ,0.00000               
15:47:37.555236     ,0.000       ,0.000       ,0.000       ,12.670      ,0.000       ,0.000       ,0.00000       ,2147476119    ,58.271          ,0.000         ,-0.000              ,0.000               ,-2534.397       ,0.00000           ,0.00000               
15:47:37.576148     ,0.000       ,0.000       ,0.000       ,12.670      ,0.000       ,0.000       ,0.00000       ,2147476119    ,58.271          ,0.000         ,-0.000              ,0.000               ,-2534.397       ,0.00000           ,0.00000               
15:47:37.595917     ,0.000       ,0.000       ,0.000       ,12.660      ,0.000       ,0.000       ,0.00000       ,2147476119    ,58.271          ,0.000         ,-0.000              ,0.000               ,-2534.397       ,0.00000           ,0.00000               
15:47:37.616721     ,0.000       ,0.000       ,0.000       ,12.670      ,0.000       ,0.000       ,0.00000       ,2147476119    ,58.271          ,0.000         ,-0.000              ,0.000               ,-2534.397       ,0.00000           ,0.00000               
15:47:37.636427     ,0.000       ,0.000       ,0.000       ,12.670      ,0.000       ,0.000       ,0.00000       ,2147476119    ,58.271          ,0.000         ,-0.000              ,0.000               ,-2534.397       ,0.00000           ,0.00000               
15:47:37.657428     ,0.000       ,0.000       ,0.000       ,12.670      ,0.000       ,0.000       ,0.00000       ,2147476119    ,58.271          ,0.000         ,-0.000              ,0.000               ,-2534.397       ,0.00000           ,0.00000               
15:47:37.678403     ,0.000       ,0.000       ,0.000       ,12.670      ,0.000       ,0.000       ,0.00000       ,2147476119    ,58.271          ,0.000         ,-0.000              ,0.000               ,-2534.397       ,0.00000           ,0.00000               
15:47:37.698072     ,0.000       ,0.000       ,0.000       ,12.670      ,0.000       ,0.000       ,0.00000       ,2147476119    ,58.271          ,0.000         ,-0.000              ,0.000               ,-2534.397       ,0.00000           ,0.00000               
15:47:37.718773     ,0.000       ,0.000       ,0.000       ,12.670      ,0.000       ,0.000       ,0.00000       ,2147476119    ,58.271          ,0.000         ,-0.000              ,0.000               ,-2534.397       ,0.00000           ,0.00000               
15:47:37.739620     ,0.000       ,0.000       ,0.000       ,12.680      ,0.000       ,0.000       ,0.00000       ,2147476119    ,58.271          ,0.000         ,-0.000              ,0.000               ,-2534.397       ,0.00000           ,0.00000               
15:47:37.751031     ,0.000       ,0.000       ,0.000       ,12.670      ,0.000       ,0.000       ,0.00000       ,2147476119    ,58.271          ,0.000         ,-0.000              ,0.000               ,-2534.397       ,0.00000           ,0.00000               
15:47:37.771038     ,0.000       ,0.000       ,0.000       ,12.670      ,0.000       ,0.000       ,0.00000       ,2147476119    ,58.271          ,0.000         ,-0.000              ,0.000               ,-2534.397       ,0.00000           ,0.00000               
15:47:37.791042     ,0.000       ,0.000       ,0.000       ,12.660      ,0.000       ,0.000       ,0.00000       ,2147476119    ,58.271          ,0.000         ,-0.000              ,0.000               ,-2534.397       ,0.00000           ,0.00000               
15:47:37.811048     ,0.000       ,0.000       ,0.000       ,12.670      ,0.000       ,0.000       ,0.00000       ,2147476119    ,58.271          ,0.000         ,-0.000              ,0.000               ,-2534.397       ,0.00000           ,0.00000               
15:47:37.831046     ,0.000       ,0.000       ,0.000       ,12.670      ,0.000       ,0.000       ,0.00000       ,2147476119    ,58.271          ,0.000         ,-0.000              ,0.000               ,-2534.397       ,0.00000           ,0.00000               
15:47:37.851034     ,0.000       ,0.000       ,0.000       ,12.670      ,0.000       ,0.000       ,0.00000       ,2147476119    ,58.271          ,0.000         ,-0.000              ,0.000               ,-2534.397       ,0.00000           ,0.00000               
15:47:37.871048     ,0.000       ,0.000       ,0.000       ,12.670      ,0.000       ,0.000       ,0.00000       ,2147476119    ,58.271          ,0.000         ,-0.000              ,0.000               ,-2534.397       ,0.00000           ,0.00000               
