Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,Pressure(kg),F0(kg)      ,DeltaF      ,PI_P(mA)    ,PI_I(mA)    ,RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorTheoryVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s)
08:59:50.776457     ,0.000       ,0.000       ,0.000       ,21.001      ,21.001      ,0.000       ,0.000       ,0.000       ,0.00000       ,343           ,30.146          ,0.000         ,-0.000              ,0.000               ,-1723.915       ,0.00000           ,0.00000               
08:59:50.796394     ,0.000       ,0.000       ,0.000       ,21.005      ,21.003      ,0.002       ,0.000       ,0.000       ,0.00000       ,343           ,30.146          ,0.000         ,-0.000              ,0.000               ,-1723.915       ,0.00000           ,0.00000               
08:59:50.816395     ,0.000       ,0.000       ,0.000       ,21.008      ,21.005      ,0.003       ,0.000       ,0.000       ,0.00000       ,343           ,30.146          ,0.000         ,-0.000              ,0.000               ,-1723.915       ,0.00000           ,0.00000               
08:59:50.836397     ,0.000       ,0.000       ,0.000       ,21.004      ,21.004      ,-0.001      ,0.000       ,0.000       ,0.00000       ,343           ,30.146          ,0.000         ,-0.000              ,0.000               ,-1723.915       ,0.00000           ,0.00000               
08:59:50.856424     ,0.000       ,0.000       ,0.000       ,21.007      ,21.005      ,0.002       ,0.000       ,0.000       ,0.00000       ,343           ,30.146          ,0.000         ,-0.000              ,0.000               ,-1723.915       ,0.00000           ,0.00000               
08:59:50.876391     ,0.000       ,0.000       ,0.000       ,21.008      ,21.006      ,0.003       ,0.000       ,0.000       ,0.00000       ,343           ,30.146          ,0.000         ,-0.000              ,0.000               ,-1723.915       ,0.00000           ,0.00000               
08:59:50.896412     ,0.000       ,0.000       ,0.000       ,21.009      ,21.006      ,0.003       ,0.000       ,0.000       ,0.00000       ,343           ,30.146          ,0.000         ,-0.000              ,0.000               ,-1723.915       ,0.00000           ,0.00000               
08:59:50.916427     ,0.000       ,0.000       ,0.000       ,21.005      ,21.006      ,-0.001      ,0.000       ,0.000       ,0.00000       ,343           ,30.146          ,0.000         ,-0.000              ,0.000               ,-1723.915       ,0.00000           ,0.00000               
08:59:50.936419     ,0.000       ,0.000       ,0.000       ,21.007      ,21.006      ,0.001       ,0.000       ,0.000       ,0.00000       ,343           ,30.146          ,0.000         ,-0.000              ,0.000               ,-1723.915       ,0.00000           ,0.00000               
08:59:50.956384     ,0.000       ,0.000       ,0.000       ,21.009      ,21.006      ,0.002       ,0.000       ,0.000       ,0.00000       ,343           ,30.146          ,0.000         ,-0.000              ,0.000               ,-1723.915       ,0.00000           ,0.00000               
08:59:50.976418     ,0.000       ,0.000       ,0.000       ,21.014      ,21.007      ,0.007       ,0.000       ,0.000       ,0.00000       ,343           ,30.146          ,0.000         ,-0.000              ,0.000               ,-1723.915       ,0.00000           ,0.00000               
08:59:50.996413     ,0.000       ,0.000       ,0.000       ,21.017      ,21.008      ,0.009       ,0.000       ,0.000       ,0.00000       ,343           ,30.146          ,0.000         ,-0.000              ,0.000               ,-1723.915       ,0.00000           ,0.00000               
08:59:51.016386     ,0.000       ,0.000       ,0.000       ,21.018      ,21.009      ,0.010       ,0.000       ,0.000       ,0.00000       ,343           ,30.146          ,0.000         ,-0.000              ,0.000               ,-1723.915       ,0.00000           ,0.00000               
08:59:51.036385     ,0.000       ,0.000       ,0.000       ,21.019      ,21.009      ,0.010       ,0.000       ,0.000       ,0.00000       ,343           ,30.146          ,0.000         ,-0.000              ,0.000               ,-1723.915       ,0.00000           ,0.00000               
08:59:51.056426     ,0.000       ,0.000       ,0.000       ,21.020      ,21.010      ,0.009       ,0.000       ,0.000       ,0.00000       ,343           ,30.146          ,0.000         ,-0.000              ,0.000               ,-1723.915       ,0.00000           ,0.00000               
08:59:51.076395     ,0.000       ,0.000       ,0.000       ,21.015      ,21.010      ,0.005       ,0.000       ,0.000       ,0.00000       ,343           ,30.146          ,0.000         ,-0.000              ,0.000               ,-1723.915       ,0.00000           ,0.00000               
08:59:51.096393     ,0.000       ,0.000       ,0.000       ,21.017      ,21.011      ,0.007       ,0.000       ,0.000       ,0.00000       ,343           ,30.146          ,0.000         ,-0.000              ,0.000               ,-1723.915       ,0.00000           ,0.00000               
08:59:51.116398     ,0.000       ,0.000       ,0.000       ,21.019      ,21.011      ,0.007       ,0.000       ,0.000       ,0.00000       ,343           ,30.146          ,0.000         ,-0.000              ,0.000               ,-1723.915       ,0.00000           ,0.00000               
08:59:51.136406     ,0.000       ,0.000       ,0.000       ,21.019      ,21.012      ,0.008       ,0.000       ,0.000       ,0.00000       ,343           ,30.146          ,0.000         ,-0.000              ,0.000               ,-1723.915       ,0.00000           ,0.00000               
08:59:51.156411     ,0.000       ,0.000       ,0.000       ,21.024      ,21.012      ,0.012       ,0.000       ,0.000       ,0.00000       ,343           ,30.146          ,0.000         ,-0.000              ,0.000               ,-1723.915       ,0.00000           ,0.00000               
08:59:51.176400     ,0.000       ,0.000       ,0.000       ,21.022      ,21.013      ,0.010       ,0.000       ,0.000       ,0.00000       ,343           ,30.146          ,0.000         ,-0.000              ,0.000               ,-1723.915       ,0.00000           ,0.00000               
08:59:51.196388     ,0.000       ,0.000       ,0.000       ,21.021      ,21.013      ,0.008       ,0.000       ,0.000       ,0.00000       ,343           ,30.146          ,0.000         ,-0.000              ,0.000               ,-1723.915       ,0.00000           ,0.00000               
