Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,PI_P(mA)    ,PI_I(mA)    ,RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorTheoryVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s)
16:40:13.385729     ,0.051       ,0.025       ,0.885       ,20.860      ,20.858      ,20.848      ,0.010       ,0.057       ,-0.196      ,0.00821       ,2147474733    ,296.455         ,149.600       ,-0.522              ,-0.000              ,1312.628        ,0.00000           ,-0.00000              
16:40:13.405738     ,0.051       ,0.025       ,0.885       ,20.860      ,20.865      ,20.848      ,0.016       ,0.060       ,-0.195      ,0.00821       ,2147474733    ,296.455         ,149.200       ,-0.521              ,-0.000              ,1312.680        ,0.00000           ,-0.00000              
16:40:13.425734     ,0.051       ,0.026       ,0.902       ,20.870      ,20.869      ,20.848      ,0.021       ,0.066       ,-0.194      ,0.00821       ,2147474733    ,296.455         ,149.400       ,-0.522              ,-0.000              ,1312.731        ,0.00000           ,-0.00000              
16:40:13.445727     ,0.049       ,0.026       ,0.902       ,20.850      ,20.851      ,20.848      ,0.003       ,0.068       ,-0.193      ,0.00821       ,2147474733    ,296.455         ,150.200       ,-0.524              ,-0.000              ,1312.782        ,0.00000           ,-0.00000              
16:40:13.465738     ,0.049       ,0.026       ,0.902       ,20.860      ,20.864      ,20.848      ,0.016       ,0.067       ,-0.191      ,0.00821       ,2147474733    ,296.455         ,150.800       ,-0.526              ,-0.000              ,1312.831        ,0.00000           ,-0.00000              
16:40:13.485746     ,0.049       ,0.026       ,0.885       ,20.850      ,20.851      ,20.848      ,0.003       ,0.065       ,-0.190      ,0.00821       ,2147474733    ,296.455         ,150.600       ,-0.526              ,-0.000              ,1312.881        ,0.00000           ,-0.00000              
16:40:13.505745     ,0.049       ,0.026       ,0.885       ,20.860      ,20.859      ,20.848      ,0.011       ,0.062       ,-0.189      ,0.00821       ,2147474733    ,296.455         ,150.200       ,-0.524              ,-0.000              ,1312.932        ,0.00000           ,-0.00000              
16:40:13.525734     ,0.051       ,0.026       ,0.885       ,20.860      ,20.856      ,20.848      ,0.008       ,0.062       ,-0.188      ,0.00821       ,2147474733    ,296.455         ,150.200       ,-0.524              ,-0.000              ,1312.982        ,0.00000           ,-0.00000              
16:40:13.545732     ,0.049       ,0.026       ,0.918       ,20.860      ,20.860      ,20.848      ,0.012       ,0.061       ,-0.187      ,0.00821       ,2147474733    ,296.455         ,150.600       ,-0.526              ,-0.000              ,1313.032        ,0.00000           ,-0.00000              
16:40:13.565723     ,0.049       ,0.027       ,0.918       ,20.860      ,20.861      ,20.848      ,0.013       ,0.062       ,-0.186      ,0.00821       ,2147474733    ,296.455         ,150.800       ,-0.526              ,-0.000              ,1313.082        ,0.00000           ,-0.00000              
