Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,PI_P(mA)    ,PI_I(mA)    ,PI_D(mA)    ,PI_LastCurrent(mA),Feedforward(mA),AlgoDeltaF(kg),AlgoPressure(kg),RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorTheoryVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s),WeightRaw(kg) ,WeightFiltered(kg),TargetTorque(Nm),ActualTorque(Nm)
18:05:43.376935     ,0.801       ,0.880       ,16.949      ,16.140      ,16.130      ,16.133      ,-0.003      ,-0.016      ,-0.000      ,0.005       ,0.005       ,880.000     ,-0.003      ,16.130      ,0.00000       ,2470          ,217.090         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.100         ,0.001         
18:05:43.386911     ,0.801       ,0.880       ,16.949      ,16.140      ,16.132      ,16.133      ,-0.001      ,-0.005      ,-0.000      ,0.047       ,0.047       ,880.000     ,-0.001      ,16.132      ,0.00000       ,2470          ,217.090         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.100         ,0.001         
18:05:43.396907     ,0.801       ,0.880       ,16.949      ,16.140      ,16.131      ,16.133      ,-0.001      ,-0.005      ,-0.000      ,0.047       ,0.047       ,880.000     ,-0.001      ,16.132      ,0.00000       ,2470          ,217.090         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.200        ,-0.003        
18:05:43.406910     ,0.798       ,0.880       ,16.949      ,16.130      ,16.129      ,16.133      ,-0.004      ,-0.018      ,-0.000      ,-0.027      ,-0.027      ,880.000     ,-0.004      ,16.129      ,0.00000       ,2470          ,217.090         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.200        ,-0.003        
18:05:43.416899     ,0.798       ,0.880       ,16.949      ,16.140      ,16.130      ,16.133      ,-0.004      ,-0.018      ,-0.000      ,-0.027      ,-0.027      ,880.000     ,-0.004      ,16.129      ,0.00000       ,2470          ,217.090         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.100         ,0.001         
18:05:43.433335     ,0.803       ,0.880       ,16.998      ,16.140      ,16.130      ,16.133      ,-0.004      ,-0.018      ,-0.000      ,-0.027      ,-0.027      ,880.000     ,-0.004      ,16.129      ,0.00000       ,2470          ,217.090         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.000         ,0.000         
18:05:43.436902     ,0.803       ,0.880       ,16.998      ,16.140      ,16.130      ,16.133      ,-0.003      ,-0.015      ,-0.000      ,0.128       ,0.128       ,880.000     ,-0.003      ,16.130      ,0.00000       ,2470          ,217.090         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.000         ,0.000         
18:05:43.452088     ,0.796       ,0.880       ,16.966      ,16.140      ,16.130      ,16.133      ,-0.003      ,-0.015      ,-0.000      ,0.050       ,0.050       ,880.000     ,-0.003      ,16.130      ,0.00000       ,2470          ,217.090         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.100         ,0.001         
18:05:43.457172     ,0.796       ,0.880       ,16.966      ,16.130      ,16.130      ,16.133      ,-0.003      ,-0.015      ,-0.000      ,0.050       ,0.050       ,880.000     ,-0.003      ,16.130      ,0.00000       ,2470          ,217.090         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.100         ,0.001         
18:05:43.470637     ,0.801       ,0.880       ,16.998      ,16.130      ,16.128      ,16.133      ,-0.003      ,-0.017      ,-0.000      ,0.061       ,0.061       ,880.000     ,-0.003      ,16.130      ,0.00000       ,2470          ,217.090         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.200         ,0.003         
18:05:43.476893     ,0.799       ,0.880       ,16.966      ,16.130      ,16.126      ,16.133      ,-0.005      ,-0.026      ,-0.000      ,0.072       ,0.072       ,880.000     ,-0.005      ,16.128      ,0.00000       ,2470          ,217.090         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.200         ,0.003         
18:05:43.488122     ,0.801       ,0.880       ,16.917      ,16.130      ,16.125      ,16.133      ,-0.006      ,-0.032      ,-0.000      ,0.140       ,0.140       ,880.000     ,-0.006      ,16.126      ,0.00000       ,2470          ,217.090         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.200        ,-0.003        
18:05:43.496910     ,0.799       ,0.880       ,16.949      ,16.140      ,16.125      ,16.133      ,-0.008      ,-0.039      ,-0.000      ,0.157       ,0.157       ,880.000     ,-0.008      ,16.125      ,0.00000       ,2470          ,217.090         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.200        ,-0.003        
18:05:43.507915     ,0.799       ,0.880       ,16.949      ,16.130      ,16.125      ,16.133      ,-0.008      ,-0.038      ,-0.000      ,0.180       ,0.180       ,880.000     ,-0.008      ,16.125      ,0.00000       ,2470          ,217.090         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.000         ,0.000         
18:05:43.516907     ,0.801       ,0.880       ,16.917      ,16.140      ,16.126      ,16.133      ,-0.007      ,-0.036      ,-0.000      ,0.147       ,0.147       ,880.000     ,-0.007      ,16.126      ,0.00000       ,2470          ,217.090         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.000         ,0.000         
18:05:43.531029     ,0.798       ,0.880       ,16.949      ,16.140      ,16.126      ,16.133      ,-0.007      ,-0.036      ,-0.000      ,0.147       ,0.147       ,880.000     ,-0.007      ,16.126      ,0.00000       ,2470          ,217.090         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.000         ,0.000         
18:05:43.536910     ,0.798       ,0.880       ,16.949      ,16.140      ,16.127      ,16.133      ,-0.006      ,-0.029      ,-0.000      ,0.141       ,0.141       ,880.000     ,-0.006      ,16.127      ,0.00000       ,2470          ,217.090         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.000         ,0.000         
18:05:43.550832     ,0.801       ,0.880       ,16.949      ,16.140      ,16.127      ,16.133      ,-0.006      ,-0.029      ,-0.000      ,0.141       ,0.141       ,880.000     ,-0.006      ,16.127      ,0.00000       ,2470          ,217.090         ,0.000         ,-0.000              ,-0.000              ,23921.871       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.000         ,0.000         
