Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,PI_P(Nm)    ,PI_I(Nm)    ,PI_D(Nm)    ,PI_LastCurrent(mA),Feedforward(mA),AlgoDeltaF(kg),AlgoPressure(kg),RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorTheoryVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s),WeightRaw(kg) ,WeightFiltered(kg),TargetTorque(Nm),ActualTorque(Nm)
11:35:19.174022     ,0.878       ,0.880       ,19.487      ,16.330      ,16.304      ,16.199      ,0.101       ,0.050       ,0.070       ,0.000       ,0.121       ,880.000     ,0.101       ,16.300      ,-0.00046      ,2147483642    ,359.473         ,0.000         ,-0.000              ,-0.000              ,23922.049       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.121         ,-0.017        
11:35:19.182605     ,0.876       ,0.880       ,19.520      ,16.330      ,16.304      ,16.199      ,0.105       ,0.053       ,0.070       ,0.000       ,0.123       ,880.000     ,0.105       ,16.304      ,-0.00046      ,2147483642    ,359.473         ,0.000         ,-0.000              ,-0.000              ,23922.049       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.123         ,-0.017        
11:35:19.193699     ,0.876       ,0.880       ,19.520      ,16.330      ,16.304      ,16.199      ,0.105       ,0.053       ,0.071       ,-0.000      ,0.123       ,880.000     ,0.105       ,16.304      ,-0.00046      ,2147483642    ,359.473         ,0.000         ,-0.000              ,-0.000              ,23922.049       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.123         ,-0.018        
11:35:19.202742     ,0.876       ,0.880       ,19.487      ,16.370      ,16.314      ,16.199      ,0.105       ,0.053       ,0.071       ,0.000       ,0.123       ,880.000     ,0.105       ,16.304      ,-0.00046      ,2147483642    ,359.473         ,0.000         ,-0.000              ,-0.000              ,23922.049       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.123         ,-0.018        
11:35:19.214379     ,0.883       ,0.880       ,19.537      ,16.380      ,16.326      ,16.199      ,0.116       ,0.063       ,0.071       ,0.000       ,0.129       ,880.000     ,0.116       ,16.314      ,-0.00046      ,2147483642    ,359.473         ,0.000         ,-0.000              ,-0.000              ,23922.049       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.129         ,-0.019        
11:35:19.222656     ,0.883       ,0.880       ,19.520      ,16.390      ,16.337      ,16.199      ,0.127       ,0.063       ,0.071       ,0.000       ,0.134       ,880.000     ,0.127       ,16.326      ,-0.00046      ,2147483642    ,359.473         ,0.000         ,-0.000              ,-0.000              ,23922.049       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.134         ,-0.019        
11:35:19.234295     ,0.878       ,0.880       ,19.504      ,16.400      ,16.351      ,16.199      ,0.138       ,0.076       ,0.071       ,0.000       ,0.140       ,880.000     ,0.138       ,16.337      ,-0.00046      ,2147483642    ,359.473         ,0.000         ,-0.000              ,-0.000              ,23922.049       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.140         ,-0.019        
11:35:19.242683     ,0.878       ,0.880       ,19.537      ,16.420      ,16.368      ,16.199      ,0.152       ,0.076       ,0.071       ,0.000       ,0.148       ,880.000     ,0.152       ,16.351      ,-0.00046      ,2147483642    ,359.473         ,0.000         ,-0.000              ,-0.000              ,23922.049       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.148         ,-0.019        
11:35:19.256633     ,0.876       ,0.880       ,19.487      ,16.420      ,16.379      ,16.199      ,0.169       ,0.085       ,0.071       ,0.000       ,0.156       ,880.000     ,0.169       ,16.368      ,-0.00046      ,2147483642    ,359.473         ,0.000         ,-0.000              ,-0.000              ,23922.049       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.156         ,-0.020        
11:35:19.262847     ,0.876       ,0.880       ,19.504      ,16.420      ,16.390      ,16.199      ,0.180       ,0.090       ,0.072       ,-0.000      ,0.161       ,880.000     ,0.180       ,16.379      ,-0.00046      ,2147483642    ,359.473         ,0.000         ,-0.000              ,-0.000              ,23922.049       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.161         ,-0.020        
11:35:19.276583     ,0.881       ,0.880       ,19.537      ,16.430      ,16.402      ,16.199      ,0.191       ,0.095       ,0.072       ,0.000       ,0.167       ,880.000     ,0.191       ,16.390      ,-0.00038      ,2147483643    ,359.561         ,0.000         ,-0.000              ,-0.000              ,23922.049       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.167         ,-0.019        
11:35:19.282794     ,0.881       ,0.880       ,19.537      ,16.460      ,16.416      ,16.199      ,0.203       ,0.101       ,0.072       ,0.000       ,0.174       ,880.000     ,0.203       ,16.402      ,-0.00038      ,2147483643    ,359.561         ,0.000         ,-0.000              ,-0.000              ,23922.049       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.174         ,-0.019        
