Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,PI_P(Nm)    ,PI_I(Nm)    ,PI_D(Nm)    ,PI_LastCurrent(mA),Feedforward(mA),FeedforwardTorque(Nm),AlgoDeltaF(kg),AlgoPressure(kg),RopeLength(m) ,EncoderValue    ,EncoderAngle(deg),MotorSpeed(rpm)     ,MotorLinearVel(m/s) ,MotorTheoryVel(m/s),MotorPosition(m)  ,RopeVelocityRaw(m/s)  ,RopeVelocityFiltered(m/s),WeightRaw(kg) ,WeightFiltered(kg),TargetTorque(Nm),ActualTorque(Nm)
17:38:56.276388     ,0.878       ,0.000       ,19.569      ,16.020      ,16.015      ,16.015      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.34998       ,5617          ,133.682         ,0.000         ,-0.000              ,0.000               ,23925.598       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.200         ,-0.199        
17:38:56.280302     ,0.878       ,0.000       ,19.569      ,16.010      ,16.010      ,16.013      ,-0.002      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.34998       ,5617          ,133.682         ,0.000         ,-0.000              ,0.000               ,23925.598       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.200         ,-0.199        
17:38:56.290328     ,0.878       ,0.000       ,19.569      ,16.010      ,16.008      ,16.011      ,-0.003      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.34998       ,5617          ,133.682         ,0.000         ,-0.000              ,0.000               ,23925.598       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.200         ,-0.199        
17:38:56.300312     ,0.878       ,0.000       ,19.569      ,16.020      ,16.007      ,16.010      ,-0.003      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.34998       ,5617          ,133.682         ,0.000         ,-0.000              ,0.000               ,23925.598       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.200         ,-0.198        
17:38:56.310316     ,0.878       ,0.000       ,19.569      ,16.030      ,16.009      ,16.010      ,-0.001      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.34998       ,5617          ,133.682         ,0.000         ,-0.000              ,0.000               ,23925.598       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.200         ,-0.198        
17:38:56.323791     ,0.879       ,0.000       ,19.586      ,16.010      ,16.006      ,16.009      ,-0.003      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.34998       ,5617          ,133.682         ,0.000         ,-0.000              ,0.000               ,23925.598       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.200         ,-0.201        
17:38:56.335396     ,0.879       ,0.000       ,19.586      ,16.010      ,16.006      ,16.009      ,-0.003      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.34998       ,5617          ,133.682         ,0.000         ,-0.000              ,0.000               ,23925.598       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.200         ,-0.198        
17:38:56.340302     ,0.879       ,0.000       ,19.586      ,16.010      ,16.006      ,16.008      ,-0.002      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.34998       ,5617          ,133.682         ,0.000         ,-0.000              ,0.000               ,23925.598       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.200         ,-0.198        
17:38:56.353052     ,0.879       ,0.000       ,19.586      ,16.000      ,16.004      ,16.008      ,-0.004      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.34998       ,5617          ,133.682         ,0.000         ,-0.000              ,0.000               ,23925.598       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.200         ,-0.196        
17:38:56.360311     ,0.879       ,0.000       ,19.586      ,16.010      ,16.002      ,16.007      ,-0.005      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.34998       ,5617          ,133.682         ,0.000         ,-0.000              ,0.000               ,23925.598       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.200         ,-0.196        
17:38:56.371544     ,0.879       ,0.000       ,19.586      ,16.000      ,16.002      ,16.007      ,-0.005      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.34998       ,5617          ,133.682         ,0.000         ,-0.000              ,0.000               ,23925.598       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.200         ,-0.198        
17:38:56.380309     ,0.879       ,0.000       ,19.586      ,16.000      ,16.000      ,16.006      ,-0.007      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.34998       ,5617          ,133.682         ,0.000         ,-0.000              ,0.000               ,23925.598       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.200         ,-0.198        
17:38:56.390304     ,0.879       ,0.000       ,19.586      ,16.010      ,15.998      ,16.006      ,-0.007      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.34998       ,5617          ,133.682         ,0.000         ,-0.000              ,0.000               ,23925.598       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.200         ,-0.198        
17:38:56.400309     ,0.879       ,0.000       ,19.586      ,16.010      ,15.998      ,16.005      ,-0.007      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.34998       ,5617          ,133.682         ,0.000         ,-0.000              ,0.000               ,23925.598       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.200         ,-0.198        
17:38:56.411119     ,0.879       ,0.000       ,19.586      ,16.020      ,15.998      ,16.005      ,-0.007      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.34998       ,5617          ,133.682         ,0.000         ,-0.000              ,0.000               ,23925.598       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.200         ,-0.201        
17:38:56.423772     ,0.879       ,0.000       ,19.569      ,16.020      ,16.000      ,16.004      ,-0.004      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.34998       ,5617          ,133.682         ,0.000         ,-0.000              ,0.000               ,23925.598       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.200         ,-0.201        
17:38:56.431559     ,0.879       ,0.000       ,19.569      ,16.010      ,16.001      ,16.004      ,-0.003      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.34998       ,5617          ,133.682         ,0.000         ,-0.000              ,0.000               ,23925.598       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.200         ,-0.198        
