Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,PI_P(Nm)    ,PI_I(Nm)    ,PI_D(Nm)    ,PI_LastTorque(Nm),Feedforward(mA),FeedforwardTorque(Nm),AlgoDeltaF(kg),AlgoPressure(kg),RopeLength(m) ,EncoderValue    ,EncoderAngle(deg),MotorSpeed(rpm)     ,MotorLinearVel(m/s) ,MotorTheoryVel(m/s),MotorPosition(m)  ,RopeVelocityRaw(m/s)  ,RopeVelocityFiltered(m/s),WeightRaw(kg) ,WeightFiltered(kg),TargetTorque(Nm),ActualTorque(Nm)
18:47:25.210361     ,0.879       ,0.880       ,18.898      ,16.140      ,16.135      ,16.139      ,-0.002      ,-0.001      ,0.000       ,0.000       ,-0.001      ,880.000     ,0.000       ,-0.002      ,16.137      ,0.00000       ,2147483646    ,359.824         ,0.000         ,-0.000              ,-0.000              ,23948.338       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.001        ,-0.001        
18:47:25.220180     ,0.879       ,0.880       ,18.898      ,16.150      ,16.136      ,16.139      ,-0.004      ,-0.001      ,0.000       ,-0.000      ,-0.001      ,880.000     ,0.000       ,-0.004      ,16.135      ,0.00000       ,2147483646    ,359.824         ,0.000         ,-0.000              ,-0.000              ,23948.338       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.001        ,-0.001        
18:47:25.231003     ,0.879       ,0.880       ,18.898      ,16.150      ,16.136      ,16.139      ,-0.003      ,-0.001      ,0.000       ,0.000       ,-0.001      ,880.000     ,0.000       ,-0.003      ,16.136      ,0.00000       ,2147483646    ,359.824         ,0.000         ,-0.000              ,-0.000              ,23948.338       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.001        ,-0.001        
18:47:25.240108     ,0.879       ,0.880       ,18.898      ,16.150      ,16.138      ,16.139      ,-0.003      ,-0.001      ,0.000       ,-0.000      ,-0.001      ,880.000     ,0.000       ,-0.003      ,16.136      ,0.00000       ,2147483646    ,359.824         ,0.000         ,-0.000              ,-0.000              ,23948.338       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.001        ,-0.001        
18:47:25.251543     ,0.879       ,0.880       ,18.898      ,16.150      ,16.139      ,16.139      ,-0.001      ,-0.000      ,0.000       ,0.000       ,-0.000      ,880.000     ,0.000       ,-0.001      ,16.138      ,0.00000       ,2147483646    ,359.824         ,0.000         ,-0.000              ,-0.000              ,23948.338       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.000        ,0.000         
18:47:25.260093     ,0.879       ,0.880       ,18.898      ,16.160      ,16.142      ,16.139      ,-0.000      ,0.000       ,0.000       ,-0.000      ,0.000       ,880.000     ,0.000       ,-0.000      ,16.139      ,0.00000       ,2147483646    ,359.824         ,0.000         ,-0.000              ,-0.000              ,23948.338       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.000         ,0.000         
18:47:25.273680     ,0.881       ,0.880       ,18.947      ,16.140      ,16.139      ,16.139      ,0.000       ,0.000       ,0.000       ,-0.000      ,-0.000      ,880.000     ,0.000       ,0.000       ,16.139      ,0.00000       ,2147483646    ,359.824         ,0.000         ,-0.000              ,-0.000              ,23948.338       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.000        ,0.000         
18:47:25.280243     ,0.881       ,0.880       ,18.947      ,16.150      ,16.140      ,16.139      ,0.000       ,0.000       ,0.000       ,-0.000      ,-0.000      ,880.000     ,0.000       ,0.000       ,16.139      ,0.00000       ,2147483646    ,359.824         ,0.000         ,-0.000              ,-0.000              ,23948.338       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.000        ,0.000         
18:47:25.291995     ,0.881       ,0.880       ,18.947      ,16.140      ,16.139      ,16.139      ,0.001       ,0.000       ,0.000       ,0.000       ,0.001       ,880.000     ,0.000       ,0.001       ,16.140      ,0.00000       ,2147483646    ,359.824         ,0.000         ,-0.000              ,-0.000              ,23948.338       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.000         ,-0.001        
18:47:25.300187     ,0.881       ,0.880       ,18.947      ,16.140      ,16.139      ,16.139      ,0.001       ,0.000       ,0.000       ,-0.000      ,0.000       ,880.000     ,0.000       ,0.001       ,16.139      ,0.00000       ,2147483646    ,359.824         ,0.000         ,-0.000              ,-0.000              ,23948.338       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.000         ,-0.001        
18:47:25.310485     ,0.881       ,0.880       ,18.947      ,16.140      ,16.137      ,16.139      ,0.000       ,0.000       ,0.000       ,-0.000      ,0.000       ,880.000     ,0.000       ,0.000       ,16.139      ,0.00000       ,2147483646    ,359.824         ,0.000         ,-0.000              ,-0.000              ,23948.338       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.001        ,-0.003        
18:47:25.320180     ,0.881       ,0.880       ,18.947      ,16.150      ,16.139      ,16.139      ,-0.002      ,-0.001      ,0.000       ,-0.000      ,-0.001      ,880.000     ,0.000       ,-0.002      ,16.137      ,0.00000       ,2147483646    ,359.824         ,0.000         ,-0.000              ,-0.000              ,23948.338       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.001        ,-0.003        
18:47:25.331243     ,0.881       ,0.880       ,18.947      ,16.140      ,16.136      ,16.139      ,-0.000      ,0.000       ,0.000       ,0.000       ,0.000       ,880.000     ,0.000       ,-0.000      ,16.139      ,0.00000       ,2147483646    ,359.824         ,0.000         ,-0.000              ,-0.000              ,23948.338       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.000         ,-0.001        
18:47:25.340308     ,0.881       ,0.880       ,18.947      ,16.150      ,16.136      ,16.139      ,-0.003      ,-0.001      ,0.000       ,-0.000      ,-0.001      ,880.000     ,0.000       ,-0.003      ,16.136      ,0.00000       ,2147483646    ,359.824         ,0.000         ,-0.000              ,-0.000              ,23948.338       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.001        ,-0.001        
18:47:25.351816     ,0.881       ,0.880       ,18.947      ,16.140      ,16.134      ,16.139      ,-0.003      ,-0.001      ,0.000       ,-0.000      ,-0.001      ,880.000     ,0.000       ,-0.003      ,16.136      ,0.00000       ,2147483646    ,359.824         ,0.000         ,-0.000              ,-0.000              ,23948.338       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.002        ,0.000         
18:47:25.360240     ,0.881       ,0.880       ,18.947      ,16.150      ,16.135      ,16.139      ,-0.004      ,-0.001      ,0.000       ,-0.000      ,-0.002      ,880.000     ,0.000       ,-0.004      ,16.134      ,0.00000       ,2147483646    ,359.824         ,0.000         ,-0.000              ,-0.000              ,23948.338       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.002        ,0.000         
18:47:25.373890     ,0.881       ,0.880       ,18.931      ,16.150      ,16.135      ,16.139      ,-0.004      ,-0.001      ,0.000       ,-0.000      ,-0.001      ,880.000     ,0.000       ,-0.004      ,16.135      ,0.00000       ,2147483646    ,359.824         ,0.000         ,-0.000              ,-0.000              ,23948.338       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.001        ,-0.003        
18:47:25.380243     ,0.881       ,0.880       ,18.931      ,16.140      ,16.136      ,16.139      ,-0.004      ,-0.001      ,0.000       ,-0.000      ,-0.001      ,880.000     ,0.000       ,-0.004      ,16.135      ,0.00000       ,2147483646    ,359.824         ,0.000         ,-0.000              ,-0.000              ,23948.338       ,0.00000           ,0.00000               ,0.000         ,0.000         ,-0.001        ,-0.003        
