Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,PI_P(Nm)    ,PI_P_Raw(Nm),PI_I(Nm)    ,PI_D(Nm)    ,PI_LastTorque(Nm),Feedforward(mA),FeedforwardTorque(Nm),AlgoDeltaF(kg),AlgoPressure(kg),RopeLength(m) ,EncoderValue    ,EncoderAngle(deg),MotorSpeed(rpm)     ,MotorLinearVel(m/s) ,MotorTheoryVel(m/s),MotorPosition(m)  ,RopeVelocityRaw(m/s)  ,RopeVelocityFiltered(m/s),WeightRaw(kg) ,WeightFiltered(kg),TargetTorque(Nm),ActualTorque(Nm)
09:23:03.529327     ,0.879       ,0.880       ,18.767      ,15.320      ,15.320      ,15.324      ,-0.004      ,-0.001      ,-0.001      ,0.011       ,0.000       ,0.010       ,880.000     ,0.000       ,-0.004      ,15.320      ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,-0.000              ,24821.047       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.010         ,0.010         
09:23:03.541399     ,0.879       ,0.880       ,18.767      ,15.320      ,15.320      ,15.324      ,-0.004      ,-0.001      ,-0.001      ,0.011       ,0.000       ,0.010       ,880.000     ,0.000       ,-0.004      ,15.320      ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,-0.000              ,24821.047       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.010         ,0.010         
09:23:03.554109     ,0.881       ,0.880       ,18.783      ,15.310      ,15.310      ,15.324      ,-0.014      ,-0.005      ,-0.005      ,0.011       ,-0.000      ,0.006       ,880.000     ,0.000       ,-0.014      ,15.310      ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,-0.000              ,24821.047       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.006         ,0.005         
09:23:03.559527     ,0.881       ,0.880       ,18.783      ,15.320      ,15.320      ,15.324      ,-0.014      ,-0.005      ,-0.005      ,0.011       ,-0.000      ,0.006       ,880.000     ,0.000       ,-0.014      ,15.310      ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,-0.000              ,24821.047       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.006         ,0.005         
09:23:03.569511     ,0.881       ,0.880       ,18.783      ,15.320      ,15.320      ,15.324      ,-0.004      ,-0.001      ,-0.001      ,0.011       ,0.000       ,0.010       ,880.000     ,0.000       ,-0.004      ,15.320      ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,-0.000              ,24821.047       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.010         ,0.006         
09:23:03.579488     ,0.881       ,0.880       ,18.783      ,15.320      ,15.320      ,15.324      ,-0.004      ,-0.001      ,-0.001      ,0.011       ,-0.000      ,0.009       ,880.000     ,0.000       ,-0.004      ,15.320      ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,-0.000              ,24821.047       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.009         ,0.009         
09:23:03.589494     ,0.881       ,0.880       ,18.783      ,15.320      ,15.320      ,15.324      ,-0.004      ,-0.001      ,-0.001      ,0.011       ,0.000       ,0.009       ,880.000     ,0.000       ,-0.004      ,15.320      ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,-0.000              ,24821.047       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.009         ,0.006         
09:23:03.599244     ,0.881       ,0.880       ,18.783      ,15.320      ,15.320      ,15.324      ,-0.004      ,-0.001      ,-0.001      ,0.011       ,0.000       ,0.009       ,880.000     ,0.000       ,-0.004      ,15.320      ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,-0.000              ,24821.047       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.009         ,0.013         
09:23:03.609691     ,0.881       ,0.880       ,18.783      ,15.310      ,15.310      ,15.324      ,-0.004      ,-0.001      ,-0.001      ,0.011       ,0.000       ,0.009       ,880.000     ,0.000       ,-0.004      ,15.320      ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,-0.000              ,24821.047       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.009         ,0.005         
09:23:03.620584     ,0.881       ,0.880       ,18.783      ,15.320      ,15.320      ,15.324      ,-0.014      ,-0.005      ,-0.005      ,0.010       ,-0.000      ,0.006       ,880.000     ,0.000       ,-0.014      ,15.310      ,0.00000       ,0             ,0.000           ,0.000         ,-0.000              ,-0.000              ,24821.047       ,0.00000           ,0.00000               ,0.000         ,0.000         ,0.006         ,0.004         
