Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,PI_P(Nm)    ,PI_P_Filtered(Nm),PI_P_Raw(Nm),PI_I(Nm)    ,PI_D(Nm)    ,PI_LastTorque(Nm),Feedforward(mA),FeedforwardTorque(Nm),AlgoDeltaF(kg),AlgoPressure(kg),RopeLength(m)   ,EncoderValue  ,EncoderAngle(deg)   ,MotorSpeed(rpm)     ,MotorLinearVel(m/s),MotorTheoryVel(m/s),MotorPosition(m)      ,RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s),WeightRaw(kg) ,WeightFiltered(kg),TargetTorque(Nm),ActualTorque(Nm)
16:54:22.981413     ,0.883       ,0.880       ,19.438      ,14.220      ,14.220      ,14.180      ,0.040       ,0.003       ,0.003          ,0.013       ,-0.007      ,0.000       ,-0.005      ,880.000     ,0.000       ,0.040       ,14.22000      ,47            ,0.001           ,4.131         ,0.000               ,-0.000              ,0.000           ,25419.67773       ,0.00000               ,-0.000        ,0.000         ,0.000         ,-0.005        ,-0.004        
16:54:22.991386     ,0.883       ,0.880       ,19.438      ,14.300      ,14.300      ,14.180      ,0.120       ,0.014       ,0.014          ,0.040       ,-0.004      ,0.000       ,0.005       ,880.000     ,0.000       ,0.120       ,14.30000      ,47            ,0.001           ,4.131         ,0.000               ,-0.000              ,0.000           ,25419.67773       ,0.00000               ,-0.000        ,0.000         ,0.000         ,0.005         ,-0.004        
16:54:23.004946     ,0.879       ,0.880       ,19.438      ,14.310      ,14.310      ,14.180      ,0.130       ,0.023       ,0.023          ,0.043       ,-0.001      ,-0.000      ,0.015       ,880.000     ,0.000       ,0.130       ,14.31000      ,47            ,0.001           ,4.131         ,0.000               ,-0.000              ,0.000           ,25419.67773       ,0.00000               ,-0.000        ,0.000         ,0.000         ,0.015         ,0.001         
16:54:23.011448     ,0.879       ,0.880       ,19.438      ,14.310      ,14.310      ,14.180      ,0.130       ,0.029       ,0.029          ,0.043       ,0.003       ,-0.000      ,0.025       ,880.000     ,0.000       ,0.130       ,14.31000      ,47            ,0.001           ,4.131         ,0.000               ,-0.000              ,0.000           ,25419.67773       ,0.00000               ,-0.000        ,0.000         ,0.000         ,0.025         ,0.024         
16:54:23.021382     ,0.879       ,0.880       ,19.438      ,14.310      ,14.310      ,14.180      ,0.130       ,0.033       ,0.033          ,0.043       ,0.006       ,0.000       ,0.035       ,880.000     ,0.000       ,0.130       ,14.31000      ,47            ,0.001           ,4.131         ,0.000               ,-0.000              ,0.000           ,25419.67773       ,0.00000               ,-0.000        ,0.000         ,0.000         ,0.035         ,0.024         
16:54:23.031405     ,0.879       ,0.880       ,19.438      ,14.200      ,14.200      ,14.180      ,0.020       ,0.025       ,0.025          ,0.007       ,0.007       ,-0.000      ,0.032       ,880.000     ,0.000       ,0.020       ,14.20000      ,47            ,0.001           ,4.131         ,0.000               ,-0.000              ,0.000           ,25419.67773       ,0.00000               ,-0.000        ,0.000         ,0.000         ,0.032         ,0.033         
16:54:23.041384     ,0.879       ,0.880       ,19.438      ,14.150      ,14.150      ,14.180      ,-0.030      ,0.015       ,0.015          ,-0.010      ,0.006       ,0.000       ,0.022       ,880.000     ,0.000       ,-0.030      ,14.15000      ,47            ,0.001           ,4.131         ,0.000               ,-0.000              ,0.000           ,25419.67773       ,0.00000               ,-0.000        ,0.000         ,0.000         ,0.022         ,0.037         
16:54:23.051408     ,0.879       ,0.880       ,19.438      ,14.090      ,14.090      ,14.180      ,-0.090      ,0.001       ,0.001          ,-0.030      ,0.004       ,-0.000      ,0.012       ,880.000     ,0.000       ,-0.090      ,14.09000      ,48            ,0.001           ,4.219         ,0.000               ,-0.000              ,0.000           ,25419.67773       ,-0.00767              ,-0.000        ,0.000         ,0.000         ,0.012         ,0.013         
16:54:23.061465     ,0.879       ,0.880       ,19.438      ,14.120      ,14.120      ,14.180      ,-0.060      ,-0.005      ,-0.005         ,-0.020      ,0.002       ,0.000       ,0.002       ,880.000     ,0.000       ,-0.060      ,14.12000      ,48            ,0.001           ,4.219         ,0.000               ,-0.000              ,0.001           ,25419.67773       ,0.00000               ,-0.000        ,0.000         ,0.000         ,0.002         ,-0.004        
16:54:23.079260     ,0.879       ,0.880       ,19.438      ,14.210      ,14.210      ,14.180      ,0.030       ,-0.001      ,-0.001         ,0.010       ,0.003       ,0.000       ,0.002       ,880.000     ,0.000       ,0.030       ,14.21000      ,48            ,0.001           ,4.219         ,0.000               ,-0.000              ,0.001           ,25419.67773       ,0.00000               ,-0.000        ,0.000         ,0.000         ,0.002         ,-0.003        
