Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,PI_P(Nm)    ,PI_P_Filtered(Nm),PI_P_Raw(Nm),PI_I(Nm)    ,PI_D(Nm)    ,PI_LastTorque(Nm),Feedforward(mA),FeedforwardTorque(Nm),AlgoDeltaF(kg),AlgoPressure(kg),EncoderValue    ,RopeLength(m) ,EncoderAngle(deg)   ,MotorSpeed(rpm)     ,MotorLinearVel(m/s),MotorTheoryVel(m/s),MotorPosition(m)      ,RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s),WeightRaw(kg) ,WeightFiltered(kg),TargetTorque(Nm),ActualTorque(Nm)
10:41:52.901061     ,0.879       ,0.880       ,20.142      ,14.510      ,14.510      ,14.406      ,0.104       ,0.092       ,0.000          ,0.000       ,1.237       ,0.000       ,0.180       ,880.000     ,0.000       ,0.104       ,14.51000      ,26            ,0.000           ,2.285         ,0.400               ,-0.001              ,0.004           ,24958.87891       ,-0.00767              ,-0.001        ,5.220         ,5.220         ,0.180         ,0.150         
10:41:52.921057     ,0.879       ,0.880       ,20.142      ,14.610      ,14.610      ,14.406      ,0.224       ,0.181       ,0.000          ,0.000       ,3.104       ,0.000       ,0.200       ,880.000     ,0.000       ,0.224       ,14.63000      ,26            ,0.000           ,2.285         ,1.400               ,-0.005              ,0.005           ,24958.88281       ,0.00000               ,-0.002        ,5.260         ,5.260         ,0.200         ,0.179         
10:41:52.931058     ,0.879       ,0.880       ,20.142      ,14.600      ,14.600      ,14.406      ,0.194       ,0.172       ,0.000          ,0.000       ,1.611       ,0.000       ,0.210       ,880.000     ,0.000       ,0.194       ,14.60000      ,27            ,0.000           ,2.373         ,2.200               ,-0.008              ,0.005           ,24958.88867       ,-0.00767              ,-0.002        ,5.260         ,5.260         ,0.210         ,0.210         
10:41:52.941035     ,0.879       ,0.880       ,20.142      ,14.550      ,14.550      ,14.406      ,0.144       ,0.146       ,0.000          ,0.000       ,0.015       ,0.000       ,0.220       ,880.000     ,0.000       ,0.144       ,14.55000      ,28            ,0.001           ,2.461         ,4.000               ,-0.014              ,0.006           ,24958.89453       ,-0.00768              ,-0.002        ,5.260         ,5.260         ,0.220         ,0.221         
10:41:52.951093     ,0.879       ,0.880       ,20.142      ,14.560      ,14.560      ,14.406      ,0.154       ,0.152       ,0.000          ,0.000       ,0.366       ,0.000       ,0.230       ,880.000     ,0.000       ,0.154       ,14.56000      ,28            ,0.001           ,2.461         ,6.600               ,-0.023              ,0.006           ,24958.90430       ,0.00000               ,-0.002        ,5.260         ,5.260         ,0.230         ,0.230         
10:41:52.966565     ,0.879       ,0.880       ,20.142      ,14.480      ,14.480      ,14.406      ,0.154       ,0.152       ,0.000          ,0.000       ,0.366       ,0.000       ,0.230       ,880.000     ,0.000       ,0.154       ,14.56000      ,29            ,0.001           ,2.549         ,11.400              ,-0.040              ,0.006           ,24958.92188       ,0.00000               ,-0.002        ,5.260         ,5.260         ,0.230         ,0.222         
10:41:52.971061     ,0.879       ,0.880       ,20.142      ,13.780      ,13.780      ,14.406      ,-0.626      ,-0.352      ,0.000          ,0.000       ,-10.000     ,0.000       ,0.230       ,880.000     ,0.000       ,-0.626      ,13.78000      ,31            ,0.001           ,2.725         ,15.600              ,-0.054              ,0.008           ,24958.92188       ,-0.01534              ,-0.003        ,5.260         ,5.260         ,0.230         ,0.227         
10:41:52.981085     ,0.879       ,0.880       ,20.142      ,13.550      ,13.550      ,14.406      ,-0.856      ,-0.616      ,0.000          ,0.000       ,-10.000     ,0.000       ,0.220       ,880.000     ,0.000       ,-0.856      ,13.55000      ,33            ,0.001           ,2.900         ,18.400              ,-0.064              ,0.010           ,24958.92188       ,-0.01534              ,-0.003        ,5.260         ,5.260         ,0.220         ,0.215         
10:41:53.004532     ,0.878       ,0.880       ,20.175      ,14.930      ,14.930      ,14.406      ,0.524       ,0.190       ,0.000          ,0.000       ,10.000      ,0.000       ,0.220       ,880.000     ,0.000       ,0.524       ,14.93000      ,38            ,0.001           ,3.340         ,17.800              ,-0.062              ,0.014           ,24958.92188       ,-0.02301              ,-0.005        ,5.270         ,5.270         ,0.220         ,0.207         
10:41:53.015900     ,0.878       ,0.880       ,20.175      ,14.550      ,14.550      ,14.406      ,0.144       ,0.102       ,0.000          ,0.000       ,2.566       ,0.000       ,0.230       ,880.000     ,0.000       ,0.144       ,14.55000      ,41            ,0.002           ,3.604         ,16.200              ,-0.057              ,0.017           ,24958.92383       ,-0.02301              ,-0.006        ,5.270         ,5.270         ,0.230         ,0.221         
