Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,ADRC_KP     ,ADRC_PGain     ,ADRC_U0(Nm) ,ADRC_Z1(kg) ,ADRC_Z2(Nm) ,ADRC_LastTorque(Nm),Feedforward(mA),FeedforwardTorque(Nm),AlgoDeltaF(kg),AlgoPressure(kg),EncoderValue    ,RopeLength(m) ,EncoderAngle(deg)   ,MotorSpeed(rpm)     ,MotorLinearVel(m/s),MotorTheoryVel(m/s),MotorPosition(m)      ,RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s),WeightRaw(kg) ,WeightFiltered(kg),TargetTorque(Nm),ActualTorque(Nm)
20:38:53.012112     ,0.000       ,0.880       ,0.000       ,14.730      ,14.502      ,14.486      ,0.022       ,500.000     ,1.000          ,-10.951     ,0.022       ,0.775       ,0.011       ,880.000     ,0.000       ,0.022       ,14.50800      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24990.39258       ,0.00000               ,0.000         ,5.220         ,5.220         ,0.011         ,-0.001        
20:38:53.012498     ,0.000       ,0.880       ,0.000       ,14.730      ,14.508      ,14.486      ,0.022       ,500.000     ,1.000          ,-10.951     ,0.022       ,0.775       ,0.011       ,880.000     ,0.000       ,0.022       ,14.50800      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24990.39258       ,0.00000               ,0.000         ,5.230         ,5.230         ,0.011         ,-0.001        
20:38:53.018550     ,0.000       ,0.880       ,0.000       ,14.650      ,14.513      ,14.486      ,0.026       ,500.000     ,1.000          ,-13.391     ,0.027       ,0.863       ,0.016       ,880.000     ,0.000       ,0.026       ,14.51260      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24990.39258       ,0.00000               ,0.000         ,5.230         ,5.230         ,0.016         ,-0.003        
20:38:53.020966     ,0.000       ,0.880       ,0.000       ,14.550      ,14.515      ,14.486      ,0.029       ,500.000     ,1.000          ,-14.589     ,0.029       ,0.833       ,0.021       ,880.000     ,0.000       ,0.029       ,14.51480      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24990.39258       ,0.00000               ,0.000         ,5.230         ,5.230         ,0.021         ,0.005         
20:38:53.028596     ,0.000       ,0.880       ,0.000       ,14.430      ,14.514      ,14.486      ,0.028       ,500.000     ,1.000          ,-14.335     ,0.029       ,0.693       ,0.026       ,880.000     ,0.000       ,0.028       ,14.51420      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24990.39258       ,0.00000               ,0.000         ,5.230         ,5.230         ,0.026         ,0.017         
20:38:53.034622     ,0.000       ,0.880       ,0.000       ,14.430      ,14.514      ,14.486      ,0.027       ,500.000     ,1.000          ,-13.967     ,0.028       ,0.573       ,0.031       ,880.000     ,0.000       ,0.027       ,14.51360      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24990.39258       ,0.00000               ,0.000         ,5.230         ,5.230         ,0.031         ,0.024         
20:38:53.035999     ,0.000       ,0.880       ,0.000       ,14.320      ,14.510      ,14.486      ,0.024       ,500.000     ,1.000          ,-12.259     ,0.025       ,0.369       ,0.036       ,880.000     ,0.000       ,0.024       ,14.51020      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24990.39258       ,0.00000               ,0.000         ,5.230         ,5.230         ,0.036         ,0.024         
20:38:53.040922     ,0.000       ,0.880       ,0.000       ,14.260      ,14.505      ,14.486      ,0.019       ,500.000     ,1.000          ,-9.641      ,0.019       ,0.133       ,0.041       ,880.000     ,0.000       ,0.019       ,14.50510      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24990.39258       ,0.00000               ,0.000         ,5.240         ,5.240         ,0.041         ,0.025         
20:38:53.046603     ,0.000       ,0.880       ,0.000       ,14.240      ,14.499      ,14.486      ,0.013       ,500.000     ,1.000          ,-6.683      ,0.013       ,-0.083      ,0.046       ,880.000     ,0.000       ,0.013       ,14.49940      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24990.39258       ,0.00000               ,0.000         ,5.240         ,5.240         ,0.046         ,0.033         
20:38:53.052568     ,0.000       ,0.880       ,0.000       ,14.240      ,14.494      ,14.486      ,0.008       ,500.000     ,1.000          ,-3.720      ,0.007       ,-0.256      ,0.051       ,880.000     ,0.000       ,0.008       ,14.49370      ,0             ,0.000           ,0.000         ,0.000               ,-0.000              ,-0.000          ,24990.39258       ,0.00000               ,0.000         ,5.240         ,5.240         ,0.051         ,0.039         
